scheme,orig,replacement
cleangenres,"rock","Rock"
cleangenres,"raphiphop","Rap & Hip-Hop"
cleangenres,"frenchsongs","Chanson"
cleangenres,"reggae","Reggae"
cleangenres,"soulfunk","Soul & Funk"
cleangenres,"edm","EDM"
cleangenres,"pop","Pop"
cleangenres,"jazz","Jazz"
cleangenres,"frenchrap","French Rap"
cleangenres,"latino","Latino"
cleangenres,"rnb","R&B"
cleangenres,"metal","Metal"
cleangenres,"classical","Classical"
cleangenres,"african","African"
cleangenres,"country","Country"
cleangenres,"alternative","Alternative"
cleangenres,"folk","Folk"
cleangenres,"blues","Blues"
cleanlegitimacy,"sc_endo_isei","Audience status\n(ISEI)"
cleanlegitimacy,"sc_endo_educ","Audience status\n(education)"
cleanlegitimacy,"sc_exo_press","Gatekeeper legitimacy\n(media)"
cleanlegitimacy,"sc_exo_score","Gatekeeper legitimacy\n(score)"
cleanlegitimacy,"sc_exo_radio","Gatekeeper legitimacy\n(radio)"
cleanlegitimacy,"sc_exo_pca"  ,"Gatekeeper legitimacy\n(PCA)"
cleanlegitimacy,"endo_isei_mean_pond","Audience status\n(ISEI, unscaled)"
cleanlegitimacy,"endo_share_high_education_pond","Audience status\n(education, unscaled)"
cleanlegitimacy,"total_n_pqnt_texte","Gatekeeper legitimacy\n(media, unscaled)"
cleanlegitimacy,"senscritique_meanscore","Gatekeeper legitimacy\n(score, unscaled)"
cleanlegitimacy,"radio_leg","Gatekeeper legitimacy\n(radio, unscaled)"
cleanlegitimacy,"omni_survey_sum_genres_played","Richness played"
cleanlegitimacy,"omni_survey_sum_genres_liked","Richness liked"
cleanlegitimacy,"omni_stream_genres_hhi","HHI genres streamed"
cleanlegitimacy,"mean_sc_exo_pca","Mean gatkp. leg.\n(PCA)"
cleanlegitimacy,"mean_sc_exo_radio","Mean gatkp. leg.\n(radio)"
cleanlegitimacy,"mean_sc_exo_press","Mean gatkp. leg.\n(press)"
cleanlegitimacy,"mean_sc_exo_score","Mean gatkp. leg.\n(score)"
cleanlegitimacy,"sd_sc_exo_pca","SD gatkp. leg.\n(PCA)"
cleanlegitimacy,"sd_sc_exo_radio","SD gatkp. leg.\n(radio)"
cleanlegitimacy,"sd_sc_exo_press","SD gatkp. leg.\n(press)"
cleanlegitimacy,"sd_sc_exo_score","SD gatkp. leg.\n(score)"
cleanlegitimacy,"omni_survey_cultural_holes_played","Cultural holes played"
cleanlegitimacy,"omni_survey_cultural_holes_liked","Cultural holes liked"
survey_questionno,"B_genres_18",blues
survey_questionno,"B_genres_19",country
survey_questionno,"B_genres_20",edm
survey_questionno,"B_genres_4",edm
survey_questionno,"B_genres_15",folk
survey_questionno,"B_genres_8",raphiphop
survey_questionno,"B_genres_13",alternative
survey_questionno,"B_genres_5",jazz
survey_questionno,"B_genres_21",
survey_questionno,"B_genres_10",classical
survey_questionno,"B_genres_14",
survey_questionno,"B_genres_23",latino
survey_questionno,"B_genres_16",latino
survey_questionno,"B_genres_24",african
survey_questionno,"B_genres_22",african
survey_questionno,"B_genres_17",
survey_questionno,"B_genres_12",metal
survey_questionno,"B_genres_2",pop
survey_questionno,"B_genres_1",frenchrap
survey_questionno,"B_genres_11",reggae
survey_questionno,"B_genres_6",rnb
survey_questionno,"B_genres_3",rock
survey_questionno,"B_genres_7",soulfunk
survey_questionno,"B_genres_9",frenchsongs
survey_question,"Blues",blues
survey_question,"Country",country
survey_question,"Dance & EDM",edm
survey_question,"Electro",edm
survey_question,"Folk & Acoustique",folk
survey_question,"Hip Hop / Rap",raphiphop
survey_question,"Indé / Alternatif",alternative
survey_question,"Jazz",jazz
survey_question,"K-pop",
survey_question,"Musique Classique",classical
survey_question,"Musique de Film",
survey_question,"Musique Brésilienne",latino
survey_question,"Musique Latino",latino
survey_question,"Musiques Africaines",african
survey_question,"Musiques Arabes",african
survey_question,"Musiques Asiatiques",
survey_question,"Métal",metal
survey_question,"Pop",pop
survey_question,"Rap français",frenchrap
survey_question,"Reggae",reggae
survey_question,"RnB",rnb
survey_question,"Rock",rock
survey_question,"Soul / Funk",soulfunk
survey_question,"Variété française",frenchsongs
genres_from_deezer_albums,"Sports",
genres_from_deezer_albums,"Comédie",
genres_from_deezer_albums,"Livres audio",
genres_from_deezer_albums,"Récits & fiction",
genres_from_deezer_albums,"Films/Jeux vidéo",
genres_from_deezer_albums,"Musiques de films",
genres_from_deezer_albums,"Jeunesse",
genres_from_deezer_albums,"Spiritualité & religion",
genres_from_deezer_albums,"Musique asiatique",
genres_from_deezer_albums,"Musique indienne",
genres_from_deezer_albums,"Singer & Songwriter",
genres_from_deezer_albums,"Alternative","alternative"
genres_from_deezer_albums,"Pop","pop"
genres_from_deezer_albums,"R&B","rnb"
genres_from_deezer_albums,"Rock","rock"
genres_from_deezer_albums,"Latino","latino"
genres_from_deezer_albums,"Electro","edm"
genres_from_deezer_albums,"Rap/Hip Hop","raphiphop"
genres_from_deezer_albums,"Dance","edm"
genres_from_deezer_albums,"Jazz","jazz"
genres_from_deezer_albums,"Classique","classical"
genres_from_deezer_albums,"Folk","folk"
genres_from_deezer_albums,"Country","country"
genres_from_deezer_albums,"Soul","soulfunk"
genres_from_deezer_albums,"Metal","metal"
genres_from_deezer_albums,"Musique africaine","african"
genres_from_deezer_albums,"Musique arabe","african"
genres_from_deezer_albums,"Soul & Funk","soulfunk"
genres_from_deezer_albums,"Reggae","reggae"
genres_from_deezer_albums,"Chanson française","frenchsongs"
genres_from_deezer_albums,"Musique brésilienne","latino"
genres_from_deezer_albums,"Pop internationale","pop"
genres_from_deezer_albums,"Bolero","latino"
genres_from_deezer_albums,"Disco","pop"
genres_from_deezer_albums,"Blues","blues"
genres_from_deezer_albums,"Grime","raphiphop"
genres_from_deezer_albums,"Ranchera","latino"
genres_from_deezer_albums,"Soul contemporaine","soulfunk"
genres_from_deezer_albums,"R&B vieille école","rnb"
deezer_editorial_playlists,"african","african"
deezer_editorial_playlists,"alternative","alternative"
deezer_editorial_playlists,"blues","blues"
deezer_editorial_playlists,"classical","classical"
deezer_editorial_playlists,"country","country"
deezer_editorial_playlists,"folk","folk"
deezer_editorial_playlists,"frenchrap","frenchrap"
deezer_editorial_playlists,"frenchsongs","frenchsongs"
deezer_editorial_playlists,"jazz","jazz"
deezer_editorial_playlists,"latino","latino"
deezer_editorial_playlists,"metal","metal"
deezer_editorial_playlists,"pop","pop"
deezer_editorial_playlists,"raphiphop","raphiphop"
deezer_editorial_playlists,"reggae","reggae"
deezer_editorial_playlists,"rnb","rnb"
deezer_editorial_playlists,"rock","rock"
deezer_editorial_playlists,"soulfunk","soulfunk"
deezer_editorial_playlists,"electro","edm"
deezer_editorial_playlists,"dance","edm"
deezer_maingenre,"african_music","african"
deezer_maingenre,"alternative","alternative"
deezer_maingenre,"arabic_music","african"
deezer_maingenre,"asian_music",
deezer_maingenre,"blues","blues"
deezer_maingenre,"brazilian_christian_music","latino"
deezer_maingenre,"brazilian_funk","latino"
deezer_maingenre,"christian",
deezer_maingenre,"classical","classical"
deezer_maingenre,"country","country"
deezer_maingenre,"edm","edm"
deezer_maingenre,"electronic","edm"
deezer_maingenre,"european_music",
deezer_maingenre,"folk","folk"
deezer_maingenre,"forro","latino"
deezer_maingenre,"french_music","frenchsongs"
deezer_maingenre,"hip_hop","raphiphop"
deezer_maingenre,"indian_music",
deezer_maingenre,"jazz","jazz"
deezer_maingenre,"k_pop",
deezer_maingenre,"latin_american_music","latino"
deezer_maingenre,"metal","metal"
deezer_maingenre,"mpb","latino"
deezer_maingenre,"new_age",
deezer_maingenre,"nonmusic",
deezer_maingenre,"pop","pop"
deezer_maingenre,"r&b","rnb"
deezer_maingenre,"reggae","reggae"
deezer_maingenre,"rock","rock"
deezer_maingenre,"samba_pagode","latino"
deezer_maingenre,"sertanejo","latino"
deezer_maingenre,"soul","soulfunk"
deezer_maingenre,"soundtrack",
senscritique_tags,Electronic,edm
senscritique_tags,Rock,rock
senscritique_tags,Pop,pop
senscritique_tags,Pop rock,rock
senscritique_tags,Jazz,jazz
senscritique_tags,Hip Hop,raphiphop
senscritique_tags,Experimental,
senscritique_tags,House,edm
senscritique_tags,"Folk, World, & Country",folk
senscritique_tags,Synth-pop,pop
senscritique_tags,Funk / Soul,soulfunk
senscritique_tags,Indie Rock,alternative
senscritique_tags,Alternative Rock,alternative
senscritique_tags,Techno,edm
senscritique_tags,Punk,rock
senscritique_tags,Electro,edm
senscritique_tags,Ambient,edm
senscritique_tags,Downtempo,edm
senscritique_tags,Industrial,edm
senscritique_tags,Trance,edm
senscritique_tags,Hardcore punk,rock
senscritique_tags,Disco,pop
senscritique_tags,Classical,classical
senscritique_tags,Drum'n'Bass,edm
senscritique_tags,Folk Rock,rock
senscritique_tags,Black Metal,metal
senscritique_tags,Stage & Screen,
senscritique_tags,New Wave,rock
senscritique_tags,Heavy Metal,metal
senscritique_tags,Prog Rock,rock
senscritique_tags,Reggae,reggae
senscritique_tags,Soul,soulfunk
senscritique_tags,Psychedelic Rock,rock
senscritique_tags,Abstract,classical
senscritique_tags,Blues,blues
senscritique_tags,Electro/techno,edm
senscritique_tags,Minimal,edm
senscritique_tags,Hard Rock,metal
senscritique_tags,Euro House,edm
senscritique_tags,Tech House,edm
senscritique_tags,Deep House,edm
senscritique_tags,Latin,latino
senscritique_tags,Vocal,
senscritique_tags,Ballad,folk
senscritique_tags,IDM,edm
senscritique_tags,Death Metal,metal
senscritique_tags,Folk,folk
senscritique_tags,Funk,soulfunk
senscritique_tags,Soundtrack,
senscritique_tags,Noise,metal
senscritique_tags,Chanson,frenchsongs
senscritique_tags,Dub,edm
senscritique_tags,Classic Rock,rock
senscritique_tags,Rock & Roll,rock
senscritique_tags,Acoustic,
senscritique_tags,Breakbeat,edm
senscritique_tags,EBM,edm
senscritique_tags,Goth Rock,rock
senscritique_tags,Progressive Trance,edm
senscritique_tags,Blues Rock,rock
senscritique_tags,Progressive House,edm
senscritique_tags,Country,country
senscritique_tags,Soft Rock,rock
senscritique_tags,Garage Rock,rock
senscritique_tags,Modern Classical,classical
senscritique_tags,Leftfield,edm
senscritique_tags,RnB/Swing,rnb
senscritique_tags,Europop,pop
senscritique_tags,Doom metal,metal
senscritique_tags,Avantgarde,
senscritique_tags,Breaks,edm
senscritique_tags,Post Rock,rock
senscritique_tags,Contemporary Jazz,jazz
senscritique_tags,Thrash,metal
senscritique_tags,Hard Trance,edm
senscritique_tags,Trip Hop,
senscritique_tags,Acid,edm
senscritique_tags,Future Jazz,jazz
senscritique_tags,Psy-Trance,edm
senscritique_tags,Dubstep,edm
senscritique_tags,Rhythm & Blues,rnb
senscritique_tags,Non-Music,
senscritique_tags,Art Rock,rock
senscritique_tags,Bande-originale,
senscritique_tags,Easy Listening,
senscritique_tags,Pop Rap,pop
senscritique_tags,Country Rock,country
senscritique_tags,Drone,edm
senscritique_tags,Contemporary,
senscritique_tags,Ska,reggae
senscritique_tags,Dark Ambient,edm
senscritique_tags,Fusion,
senscritique_tags,Score,
senscritique_tags,Grindcore,metal
senscritique_tags,Schlager,pop
senscritique_tags,Jazz-Funk,jazz
senscritique_tags,Lo-Fi,pop
senscritique_tags,Gangsta,raphiphop
senscritique_tags,Conscious,raphiphop
senscritique_tags,Jungle,edm
senscritique_tags,Jazz-Rock,jazz
senscritique_tags,Tribal,edm
senscritique_tags,Power Pop,rock
senscritique_tags,Soul-Jazz,jazz
senscritique_tags,Hard/metal,metal
senscritique_tags,Rap/hip hop/R&B,raphiphop
senscritique_tags,Free Jazz,jazz
