dependant,type
danceability_sd,acoustic
energy_sd,acoustic
speechiness_sd,acoustic
acousticness_sd,acoustic
instrumentalness_sd,acoustic
liveness_sd,acoustic
valence_sd,acoustic
tempo_sd,acoustic
related_artists_diversity,acoustic
f_endo_longtail,popularity
f_endo_intermediate,popularity
f_endo_superstar,popularity
f_endo_star,popularity
f_endo_small_star,popularity
average_artist_age,popularity
div_genre,omnivore
sc_endo_isei_sd,omnivore
sc_endo_educ_sd,omnivore
sc_exo_press_sd,omnivore
sc_exo_score_sd,omnivore
sc_exo_radio_sd,omnivore
sc_endo_isei_mean,legitimacy
sc_endo_educ_mean,legitimacy
sc_exo_press_mean,legitimacy
sc_exo_score_mean,legitimacy
sc_exo_radio_mean,legitimacy
div_artist,demographics
div_regional,demographics
div_linguistic,demographics
f_women,demographics
lang_share_fr,demographics
lang_share_en,demographics
pc1_sd,acoustic
pc2_sd,acoustic
pc3_sd,acoustic
pc4_sd,acoustic
