dependant,dependant_new
"Artist diversity","Artist diversity (HHD)"
"Genre diversity","Genre diversity (HHD)"
"Country diversity","Country diversity (HHD)"
"Language diversity","Language diversity (HHD)"
"Share of female artists","Share of female artists (%)"
"Mean gatekeeper value (score)","Average maven score"
"Std. gatekeeper value (score)","Diversity maven score"
"Share of time spent on longtail artists (bottom 90%)","Longtail artists (bottom 90%)"
"Share of time spent on intermediate artists (90-95%)","Intermediate artists (90-95%)"
"Share of time spent on notorious artists (95-99%)","Notorious artists (95-99%)"
"Share of time spent on star artists (99-99.9%)","Star artists (99-99.9%)"
"Share of time spent on superstar artists  (top .1%)","Superstar artists  (top .1%)"
"Related artists clusters (HHD)","Related artists clusters (HHD)"
"Acous. feat. PC1 -- Loudn. & En. vs. Ac. & Instr.","Acoustic 1 - Loudness, acousticness"
"Acous. feat. PC2 -- Danc. vs. Liv.","Acoustic 2 - Dance, live"
"Acous. feat. PC3 -- Instr. & Tempo vs. Liv. & Speech.","Acoustic 3 - Temp, speech"
